Province,ProvinceCode,CriteriaId,CountryCode,Country
Buenos Aires,AR-B,20009,AR,Argentina
Capital Federal,AR-C,20010,AR,Argentina
Catamarca,AR-K,20015,AR,Argentina
Chaco,AR-H,20013,AR,Argentina
Chubut,AR-U,20023,AR,Argentina
Cordoba,AR-X,20026,AR,Argentina
Corrientes,AR-W,20025,AR,Argentina
Entre Rios,AR-E,20011,AR,Argentina
Formosa,AR-P,21299,AR,Argentina
Jujuy,AR-Y,20027,AR,Argentina
La Pampa,AR-L,20016,AR,Argentina
La Rioja,AR-F,20012,AR,Argentina
Mendoza,AR-M,20017,AR,Argentina
Misiones,AR-N,20018,AR,Argentina
Neuquen,AR-Q,20019,AR,Argentina
Rio Negro,AR-R,20020,AR,Argentina
Salta,AR-A,20008,AR,Argentina
San Juan,AR-J,20014,AR,Argentina
San Luis,AR-D,21297,AR,Argentina
Santa Cruz,AR-Z,20028,AR,Argentina
Santa Fe,AR-S,20021,AR,Argentina
Santiago del Estero,AR-G,21298,AR,Argentina
Tierra del Fuego,AR-V,20024,AR,Argentina
Tucuman,AR-T,20022,AR,Argentina
Australian Capital Territory,AU-ACT,20034,AU,Australia
New South Wales,AU-NSW,20035,AU,Australia
Northern Territory,AU-NT,20036,AU,Australia
Queensland,AU-QLD,20037,AU,Australia
South Australia,AU-SA,20038,AU,Australia
Tasmania,AU-TAS,20039,AU,Australia
Victoria,AU-VIC,20040,AU,Australia
Western Australia,AU-WA,20041,AU,Australia
Burgenland,AT-1,20042,AT,Austria
Carinthia,AT-2,20043,AT,Austria
Lower Austria,AT-3,20044,AT,Austria
Salzburg,AT-5,20046,AT,Austria
Styria,AT-6,20047,AT,Austria
Tyrol,AT-7,20048,AT,Austria
Upper Austria,AT-4,20045,AT,Austria
Vienna,AT-9,20050,AT,Austria
Vorarlberg,AT-8,20049,AT,Austria
Antwerp,BE-VAN,20053,BE,Belgium
Brussels,BE-BRX,20052,BE,Belgium
East Flanders,BE-VOV,20056,BE,Belgium
Flemish Brabant,BE-VBR,20054,BE,Belgium
Hainaut,BE-WHT,20059,BE,Belgium
Liege,BE-WLG,20060,BE,Belgium
Limburg,BE-VLI,20055,BE,Belgium
Luxembourg,BE-WLX,20061,BE,Belgium
Namur,BE-WNA,20062,BE,Belgium
Walloon Brabant,BE-WBR,20058,BE,Belgium
West Flanders,BE-VWV,20057,BE,Belgium
Acre,BR-AC,21232,BR,Brazil
Alagoas,BR-AL,20086,BR,Brazil
Amapa,BR-AP,21226,BR,Brazil
Amazonas,BR-AM,20087,BR,Brazil
Bahia,BR-BA,20088,BR,Brazil
Ceara,BR-CE,20089,BR,Brazil
Espirito Santo,BR-ES,20091,BR,Brazil
Federal District,BR-DF,20090,BR,Brazil
Goias,BR-GO,20092,BR,Brazil
Maranhao,BR-MA,20093,BR,Brazil
Mato Grosso,BR-MT,20096,BR,Brazil
Mato Grosso do Sul,BR-MS,20095,BR,Brazil
Minas Gerais,BR-MG,20094,BR,Brazil
Para,BR-PA,20097,BR,Brazil
Paraiba,BR-PB,20098,BR,Brazil
Parana,BR-PR,20101,BR,Brazil
Pernambuco,BR-PE,20099,BR,Brazil
Piaui,BR-PI,20100,BR,Brazil
Rio de Janeiro,BR-RJ,20102,BR,Brazil
Rio Grande do Norte,BR-RN,20103,BR,Brazil
Rio Grande do Sul,BR-RS,20104,BR,Brazil
Rondonia,BR-RO,21227,BR,Brazil
Roraima,BR-RR,21228,BR,Brazil
Santa Catarina,BR-SC,20105,BR,Brazil
Sao Paulo,BR-SP,20106,BR,Brazil
Sergipe,BR-SE,21229,BR,Brazil
Tocantins,BR-TO,21230,BR,Brazil
Alberta,CA-AB,20113,CA,Canada
British Columbia,CA-BC,20114,CA,Canada
Manitoba,CA-MB,20115,CA,Canada
New Brunswick,CA-NB,20116,CA,Canada
Newfoundland,CA-NF,20117,CA,Canada
Northwest Territories,CA-NT,20119,CA,Canada
Nova Scotia,CA-NS,20118,CA,Canada
Nunavut,CA-NU,20120,CA,Canada
Ontario,CA-ON,20121,CA,Canada
Prince Edward Island,CA-PE,20122,CA,Canada
Quebec,CA-QC,20123,CA,Canada
Saskatchewan,CA-SK,20124,CA,Canada
Yukon Territory,CA-YT,20125,CA,Canada
Antofagasta,CL-AN,20152,CL,Chile
Araucanía,CL-AR,20153,CL,Chile
Bío-Bío,CL-BI,20154,CL,Chile
Coquimbo,CL-CO,20155,CL,Chile
Libertador General Bernardo O'Higgins,CL-LI,20156,CL,Chile
Los Lagos,CL-LL,20157,CL,Chile
Magallanes,CL-MA,20158,CL,Chile
Maule,CL-ML,20159,CL,Chile
Region Metropolitana de Santiago,CL-RM,20160,CL,Chile
Tarapacá,CL-TA,20161,CL,Chile
Valparaíso,CL-VS,20162,CL,Chile
Anhui,CN-34,20174,CN,China
Beijing,CN-11,20163,CN,China
Chongqing,CN-50,20184,CN,China
Fujian,CN-35,20175,CN,China
Gansu,CN-62,20190,CN,China
Guangdong,CN-44,20181,CN,China
Guangxi,CN-45,20182,CN,China
Guizhou,CN-52,20186,CN,China
Hainan,CN-46,20183,CN,China
Hebei,CN-13,20165,CN,China
Heilongjiang,CN-23,20170,CN,China
Henan,CN-41,20178,CN,China
Hubei,CN-42,20179,CN,China
Hunan,CN-43,20180,CN,China
Jiangsu,CN-32,20172,CN,China
Jiangxi,CN-36,20176,CN,China
Jilin,CN-22,20169,CN,China
Liaoning,CN-21,20168,CN,China
Nei Monggol,CN-15,20167,CN,China
Ningxia,CN-64,20192,CN,China
Qinghai,CN-63,20191,CN,China
Shaanxi,CN-61,20189,CN,China
Shandong,CN-37,20177,CN,China
Shanghai,CN-31,20171,CN,China
Shanxi,CN-14,20166,CN,China
Sichuan,CN-51,20185,CN,China
Tianjin,CN-12,20164,CN,China
Xinjiang,CN-65,20193,CN,China
Xizang,CN-54,20188,CN,China
Yunnan,CN-53,20187,CN,China
Zhejiang,CN-33,20173,CN,China
Amazonas,CO-AMA,21506,CO,Colombia
Antioquia,CO-ANT,20198,CO,Colombia
Arauca,CO-ARA,21507,CO,Colombia
Atlantico,CO-ATL,20199,CO,Colombia
Bogota,CO-DC,20203,CO,Colombia
Bolivar,CO-BOL,20200,CO,Colombia
Boyaca,CO-BOY,21508,CO,Colombia
Caldas,CO-CAL,20201,CO,Colombia
