name,address,city,state,zip,size
A T Still University of Health Sciences,800 W Jefferson, Kirksville,Missouri,63501,3480
Abilene Christian University,1600 Campus Court, Abilene,Texas,79699,4669
Abraham Baldwin Agricultural College,2802 Moore Hwy, Tifton,Georgia,31793-2601,3600
Academy College,1101 E. 78th Street, Minneapolis,Minnesota,55420-1554,165
Academy for Five Element Acupuncture,305 SE 2nd Ave, Gainesville,Florida,32601,51
Academy of Art University,79 New Montgomery, San Francisco,California,94105,13181
Academy of Chinese Culture and Health Sciences,1601 Clay St, Oakland,California,94612,92
Academy of Oriental Medicine,2700 W Anderson Ln Ste 204, Austin,Texas,78757,207
Academy of Vocal Arts,1920 Spruce St, Philadelphia,Pennsylvania,19103-6685,27
Acupuncture and Integrative Medicine College-Berkeley,2550 Shattuck Ave, Berkeley,California,94704,181
Acupuncture and Massage College,10506 N Kendall Drive, Miami,Florida,33176,131
Adams State College,208 Edgemont Blvd, Alamosa,Colorado,81102,2920
Adelphi University,South Ave, Garden City,New York,11530-0701,8177
Adler Graduate School,1550 East 78th Street, Richfield,Minnesota,55423,274
Adler School of Professional Psychology,65 East Wacker Place, Chicago,Illinois,60601,639
Adrian College,110 S Madison St, Adrian,Michigan,49221-2575,1469
Agnes Scott College,141 E. College Ave, Decatur,Georgia,30030-3797,832
AI Miami International University of Art and Design,1501 Biscayne Boulevard, Miami,Florida,33132-1418,3429
AIB College of Business,2500 Fleur Drive, Des Moines,Iowa,50321-1799,985
Air Force Institute of Technology-Graduate School of Engineering & Management,2950 Hobson Way-Wright Patterson AFB, Dayton,Ohio,45433-7765,773
Alabama A & M University,4900 Meridian St, Normal,Alabama,35762,5124
Alabama State University,915 S Jackson Street, Montgomery,Alabama,36101-0271,5695
Alaska Pacific University,4101 University Dr, Anchorage,Alaska,99508,803
Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue, Albany,New York,12208-3492,1525
Albany Law School,80 New Scotland Avenue, Albany,New York,12208,784
Albany Medical College,47 New Scotland Ave, Albany,New York,12208-0000,839
Albany State University,504 College Dr., Albany,Georgia,31705,4176
Albertus Magnus College,700 Prospect St, New Haven,Connecticut,06511-1189,2129
Albion College,611 E Porter St, Albion,Michigan,49224,1860
Albright College,1621 N. 13th St., Reading,Pennsylvania,19612-5234,2305
Alcorn State University,1000 ASU Dr Ste 359, Alcorn State,Mississippi,39096-7500,3252
Alderson Broaddus College,101 College Hill Drive, Philippi,West Virginia,26416-2035,738
Alfred University,One Saxon Drive, Alfred,New York,14802-1205,2427
Alice Lloyd College,100 Purpose Rd, Pippa Passes,Kentucky,41844,609
Allegheny College,520 N Main St, Meadville,Pennsylvania,16335-3902,2125
Allegheny Wesleyan College,2161 Woodsdale Rd, Salem,Ohio,44460-9598,55
Allen College,1990 Heath St, Waterloo,Iowa,50703-1999,417
Allen University,1530 Harden Street, Columbia,South Carolina,29204,725
Alliant International University,1000 S Fremont Ave, Alhambra,California,91803-1360,
Alliant International University,10455 Pomerado Road, San Diego,California,92131-1799,4149
Alliant International University,2500 Michelson Dr-Ste 250, Irvine,California,92612-1221,
Alliant International University,5130 E Clinton Way, Fresno,California,93727-1360,
Alliant International University,One Beach Street, San Francisco,California,94133-1221,
Alliant International University,2595 Capital Oaks Drive, Sacramento,California,95833,
Alma College,614 W Superior, Alma,Michigan,48801-1599,1382
Alvernia College,400 Saint Bernardine St, Reading,Pennsylvania,19607-1799,2809
Alverno College,3400 S 43rd  St, Milwaukee,Wisconsin,53234-3922,2782
Amberton University,1700 Eastgate Dr, Garland,Texas,75041-5595,1562
American Academy of Acupuncture and Oriental Medicine,1925 W County Rd B-2, Roseville,Minnesota,55113,111
American Academy of Art,332 S Michigan Ave, Chicago,Illinois,60604-4302,391
American Baptist College,1800 Baptist World Ctr Dr, Nashville,Tennessee,37207,106
American Baptist Seminary of the West,2606 Dwight Way, Berkeley,California,94704-3029,65
American College,270 Bryn Mawr Ave, Bryn Mawr,Pennsylvania,19010-2196,386
American College of Acupuncture and Oriental Med,9100 Park  West Drive, Houston,Texas,70063-4104,127
American College of Traditional Chinese Medicine,455 Arkansas St, San Francisco,California,94107,322
American Conservatory Theater,30 Grant Ave, San Francisco,California,94108-5834,44
American Film Institute Conservatory,2021 N Western Ave, Los Angeles,California,90027-1625,357
American Indian College of the Assemblies of God Inc,10020 N 15th Ave, Phoenix,Arizona,85021,99
American Intercontinental University,12655 West Jefferson Blvd, Los Angeles,California,90066,229
American Intercontinental University,2250 North Commerce Pkwy, Weston,Florida,33326,887
American InterContinental University,3330 Peachtree Rd., Atlanta,Georgia,30326-1001,967
American Intercontinental University,9999 Richmond Avenue, Houston,Texas,77042,474
American Intercontinental University Online,5550 Prairie Stone Pky-Ste 400, Hoffman Estates,Illinois,60192,22798
American Intercontinental University-Dunwoody Campus,6600 Peachtree Dunwoody Road, Atlanta,Georgia,30328,980
American International College,1000 State Street, Springfield,Massachusetts,1109,3112
American Jewish University,15600 Mulholland Dr, Los Angeles,California,90077-1519,209
American Musical and Dramatic Academy,2109 Broadway, New York,New York,10023,896
American Public University System,111 W Congress St, Charles Town,West Virginia,25414,21729
American University,4400 Massachusetts Ave NW, Washington,District of Columbia,20016-8001,11684
American University of Health Sciences,3501 Atlantic Ave., Long Beach,California,90807,33
American University of Puerto Rico,Carr. #2, Bayamon,Puerto Rico,00960-2037,1747
American University of Puerto Rico,Carretera Estatal #2 Km.48.1, Manati,Puerto Rico,00674-1082,1528
Amherst College,Boltwood Avenue, Amherst,Massachusetts,01002-5000,1697
Amridge University,1200 Taylor Rd, Montgomery,Alabama,36117-3553,705
Anderson University,316 Boulevard, Anderson,South Carolina,29621,2064
Anderson University,1100 E 5th St, Anderson,Indiana,46012-3495,2737
Andover Newton Theological School,210 Herrick Rd, Newton Centre,Massachusetts,02459-2243,320
Andrews University,,Berrien Springs,Michigan,49104,3419
Angelo State University,2601 W Avenue N, San Angelo,Texas,76909,6155
Angley College,1700 S. Woodland Blvd., Deland,Florida,32720,206
Anna Maria College,50 Sunset Lane, Paxton,Massachusetts,01612-1198,1333
Anthem College-Phoenix,1515 E Indian School Road, Phoenix,Arizona,85014,2280
Antioch University McGregor,900 Dayton St, Yellow Springs,Ohio,45387,630
Antioch University New England,40 Avon St, Keene,New Hampshire,3431,842
Antioch University PhD Program in Leadership and Change,150 E South College St, Yellow Springs,Ohio,45387,133
Antioch University Seattle,2326 6th Ave, Seattle,Washington,98121,854
Antioch University-Los Angeles Branch,400 Corporate Pointe, Culver City,California,90230-7615,697
